logged_at	validation_timestamp	model_name	feature_set_name	feature_engineering_summary	engineered_features_json	model_variant_name	model_summary	estimator_family	estimator_params_json	preprocessor_spec_json	blend_spec_json	hypothesis	changed_components	why_this_should_help	decision	decision_reason	validation_rmse	validation_mae	validation_mape	validation_spearman	test_rmse	test_mae	test_mape	test_spearman	notes
2026-05-05T21:22:25	2026-05-05T15:53:41	search_huber_week4_control_week3_features_v1	control_week3_features	Week 3 retained control feature set with no additional engineered flags.	[]	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Reproduce the Week 3 benchmark before changing the feature surface.		Reproduce the Week 3 benchmark before changing the feature surface.	Reference	Matched the retained Week 3 benchmark exactly.	1351472.108494	897593.183508	7.656134	0.424909					Formal Week 4 run. Variable changed: none
2026-05-05T21:22:25	2026-05-05T15:53:59	search_huber_week4_release_timing_family_v1	release_timing_family	Week 3 control plus release-window proximity flags for recent and upcoming releases.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Better release timing indicators should reduce the largest surge misses.	features	Better release timing indicators should reduce the largest surge misses.	Keep	Strongest isolated feature-family improvement.	1334444.153323	870481.276604	6.524334	0.452583					Formal Week 4 run. Variable changed: Added release-window flags
2026-05-05T21:22:25	2026-05-05T15:54:12	search_huber_week4_concert_timing_family_v1	concert_timing_family	Week 3 control plus upcoming concert-window proximity flags.	"[""concert_in_next_7d_flag"",""concert_in_next_30d_flag""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""concert_in_next_7d_flag"",""concert_in_next_30d_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Concert timing should capture medium-scale lift around event windows.	features	Concert timing should capture medium-scale lift around event windows.	Discard	No measurable RMSE change.	1351472.108494	897593.183508	7.656134	0.424909					Formal Week 4 run. Variable changed: Added upcoming-concert flags
2026-05-05T21:22:25	2026-05-05T15:54:26	search_huber_week4_negative_regime_family_v1	negative_regime_family	Week 3 control plus negative-growth and near-flat regime indicators.	"[""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Explicit regime flags should reduce overprediction in flat or negative periods.	features	Explicit regime flags should reduce overprediction in flat or negative periods.	Keep for synthesis	Small RMSE gain, enough to justify the combo follow-up.	1347488.135996	896915.008156	7.306693	0.433551					Formal Week 4 run. Variable changed: Added negative and flat regime indicators
2026-05-05T21:22:25	2026-05-05T15:54:41	search_huber_week4_release_plus_regime_combo_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	The two strongest signals should complement each other.	features	The two strongest signals should complement each other.	Keep	Best feature-only result.	1328169.539574	875849.135285	6.016124	0.455865	2001850.158853	1042305.420460	4.235544	0.365231	Formal Week 4 run. Variable changed: Combined release-window and negative-regime feature families
2026-05-05T21:22:25	2026-05-05T16:04:06	search_huber_week4_momentum_gap_family_v1	momentum_gap_family	Week 3 control plus short-vs-long momentum gap features.	"[""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Acceleration relative to the 30-day trend should help breakout calibration.	features	Acceleration relative to the 30-day trend should help breakout calibration.	Discard	Helped Spearman more than RMSE.	1349804.529945	897326.074681	7.912147	0.439875					Formal Week 4 run. Variable changed: Added short-vs-long trend gap features
2026-05-05T21:22:25	2026-05-05T16:04:25	search_huber_week4_spike_flag_family_v1	spike_flag_family	Week 3 control plus spike, decline, and high-growth-rate indicators.	"[""prev_7d_positive_spike_flag"",""prev_30d_positive_spike_flag"",""prev_7d_strong_decline_flag"",""prev_30d_strong_decline_flag"",""prev_7d_high_growth_rate_flag"",""prev_30d_high_growth_rate_flag""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""prev_7d_positive_spike_flag"",""prev_30d_positive_spike_flag"",""prev_7d_strong_decline_flag"",""prev_30d_strong_decline_flag"",""prev_7d_high_growth_rate_flag"",""prev_30d_high_growth_rate_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Explicit spike markers should help react to emerging breakouts.	features	Explicit spike markers should help react to emerging breakouts.	Discard	Slight ranking gain, weak RMSE gain.	1350523.481168	896105.791551	7.963931	0.446326					Formal Week 4 run. Variable changed: Added large-move and high-growth-rate flags
2026-05-05T21:22:25	2026-05-05T16:04:41	search_huber_week4_release_plus_momentum_family_v1	release_plus_momentum_family	Week 3 control plus release-window flags and momentum-gap features.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	Event timing plus local trend shape should outperform either signal alone.	features	Event timing plus local trend shape should outperform either signal alone.	Keep as challenger	Best Spearman in the feature-only search, but not best RMSE.	1331647.510589	872716.860544	6.811662	0.465000					Formal Week 4 run. Variable changed: Combined release-window indicators with momentum-gap features
2026-05-05T21:22:25	2026-05-05T16:05:02	search_huber_week4_breakout_full_combo_v1	breakout_full_combo	Week 3 control plus release/regime/momentum/spike features and release-spike interactions.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d"",""prev_7d_positive_spike_flag"",""prev_30d_positive_spike_flag"",""prev_7d_strong_decline_flag"",""prev_30d_strong_decline_flag"",""prev_7d_high_growth_rate_flag"",""prev_30d_high_growth_rate_flag"",""release_next_30d_x_prev_7d_positive_spike"",""release_last_30d_x_prev_7d_positive_spike"",""release_next_30d_x_prev_30d_positive_spike"",""release_last_30d_x_prev_30d_positive_spike""]"	huber_default	Default Week 4 Huber baseline with log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.35,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag"",""change_gap_7d_vs_30d_scaled"",""growth_rate_gap_7d_vs_30d"",""prev_7d_positive_spike_flag"",""prev_30d_positive_spike_flag"",""prev_7d_strong_decline_flag"",""prev_30d_strong_decline_flag"",""prev_7d_high_growth_rate_flag"",""prev_30d_high_growth_rate_flag"",""release_next_30d_x_prev_7d_positive_spike"",""release_last_30d_x_prev_7d_positive_spike"",""release_next_30d_x_prev_30d_positive_spike"",""release_last_30d_x_prev_30d_positive_spike""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A larger breakout-oriented surface should reduce rare surge misses the most.	features	A larger breakout-oriented surface should reduce rare surge misses the most.	Discard	Added complexity improved ranking but not RMSE.	1349521.800985	889148.613851	6.712513	0.466598					Formal Week 4 run. Variable changed: Combined release, regime, momentum, spike, and interaction features
2026-05-05T21:22:25	2026-05-05T16:21:35	search_week4_release_plus_regime_combo_huber_eps_1_25_v1	release_plus_regime_combo	Week 3 control plus release-window flags and negative/flat regime indicators.	"[""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""]"	huber_eps_1_25	HuberRegressor with epsilon=1.25 and the standard log-scaled linear preprocessing.	HuberRegressor	"{""epsilon"":1.25,""max_iter"":500}"	"{""log_scale_columns"":[""listeners_today"",""listeners_lag_7d"",""listeners_lag_30d"",""instagram_followers"",""spotify_followers"",""spotify_playlist_reach"",""tiktok_followers"",""tiktok_likes"",""youtube_daily_video_views"",""youtube_monthly_audience"",""youtube_subscribers"",""chartmetric_score""],""name"":""linear_log_standard"",""other_columns"":[""listener_change_prev_7d"",""listener_change_prev_30d"",""listener_growth_rate_prev_7d"",""listener_growth_rate_prev_30d"",""instagram_engagement_rate"",""spotify_fan_conversion_rate"",""concert_count_prev_7d"",""concert_count_prev_30d"",""concert_count_next_7d"",""concert_count_next_30d"",""days_until_next_concert"",""multi_night_run_flag"",""release_count_prev_30d"",""album_release_prev_30d_flag"",""single_release_prev_30d_flag"",""mv_release_prev_30d_flag"",""days_since_last_release"",""days_until_next_release"",""release_in_next_7d_flag"",""release_in_next_30d_flag"",""release_within_last_7d_flag"",""release_within_last_30d_flag"",""prev_7d_negative_flag"",""prev_30d_negative_flag"",""prev_7d_flat_flag"",""prev_30d_flat_flag""],""transforms"":{""log_scale"":[""median_imputer"",""log1p_clip_nonnegative"",""standard_scaler""],""other"":[""median_imputer"",""standard_scaler""]},""type"":""ColumnTransformer""}"	{}	A slightly tighter robust loss should reduce large surge misses without overreacting to outliers.	model	A slightly tighter robust loss should reduce large surge misses without overreacting to outliers.	Keep	New best overall run.	1326596.550141	865851.633354	5.562531	0.456486	2000247.738591	1036561.610196	3.945584	0.368676	Formal Week 4 run. Variable changed: Tightened Huber loss to `epsilon=1.25`
